,short_name,long_name,overall,age,dob,height_cm,weight_kg,club_position,Position,club_name,league_name,nationality_name,club_jersey_number,preferred_foot,weak_foot,skill_moves,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking,skill,movement,power,mentality
12,G. Donnarumma,Gianluigi Donnarumma,89,22,1999-02-25,196,90,GK,GK,Paris Saint-Germain,French Ligue 1,Italy,50,Right,3,1,Rushes Out Of Goal  Comes For Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,16,23.6,58.4,51,37
13,Alisson,Alisson Ramsés Becker,89,28,1992-10-02,191,91,GK,GK,Liverpool,English Premier League,Brazil,1,Right,3,1,GK Long Throw  Rushes Out Of Goal,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,24.8,27.6,53.4,47.8,34.1666666666667
14,Ederson,Ederson Santana de Moraes,89,27,1993-08-17,188,86,GK,GK,Manchester City,English Premier League,Brazil,31,Left,3,1,Long Passer (AI)  Rushes Out Of Goal  Comes For Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,25.4,32.8,64.6,54.6,46
15,M. Salah,Mohamed Salah Ghaly,89,29,1992-06-15,175,71,RW,Forward,Liverpool,English Premier League,Egypt,11,Left,3,4,Finesse Shot  Long Shot Taker (AI)  Speed Dribbler (AI)  Outside Foot Shot  Chip Shot (AI),90,87,81,90,45,75,78.8,81.2,90.8,79,78
16,J. Kimmich,Joshua Walter Kimmich,89,26,1995-02-08,177,75,RDM,Midfield,FC Bayern München,German 1. Bundesliga,Germany,6,Right,4,3,Leadership  Long Passer (AI)  Playmaker (AI),70,73,86,84,83,79,77.4,80.8,79.6,80.6,77.8333333333333
17,V. van Dijk,Virgil van Dijk,89,29,1991-07-08,193,92,LCB,Defender,Liverpool,English Premier League,Netherlands,4,Right,3,2,Leadership  Long Passer (AI)  Power Header,78,60,71,72,91,84,63.2,72.4,71,79.2,72.8333333333333
18,K. Benzema,Karim Benzema,89,33,1987-12-19,185,81,CF,Forward,Real Madrid CF,Spain Primera Division,France,9,Right,4,4,Leadership  Finesse Shot  Playmaker (AI)  Outside Foot Shot  Team Player,76,86,81,87,39,77,85.2,80.8,78.8,80.6,75.5
19,H. Son,손흥민 孙兴慜,89,28,1992-07-08,183,78,LW,Forward,Tottenham Hotspur,English Premier League,Korea Republic,7,Right,5,4,Solid Player  Finesse Shot  Long Shot Taker (AI)  Speed Dribbler (AI)  Technical Dribbler (AI),88,87,82,86,43,69,80.2,80.8,86,77.8,72.8333333333333
20,T. Courtois,Thibaut Courtois,89,29,1992-05-11,199,96,GK,GK,Real Madrid CF,Spain Primera Division,Belgium,1,Left,3,1,GK Long Throw  Comes For Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,17.2,22,57,49.8,31.3333333333333
21,Casemiro,Carlos Henrique Venancio Casimiro,89,29,1992-02-23,185,84,CDM,Midfield,Real Madrid CF,Spain Primera Division,Brazil,14,Right,3,2,Power Free-Kick  Dives Into Tackles (AI)  Long Shot Taker (AI)  Team Player,65,73,76,73,86,90,69.4,73.6,68.6,87,80.5
22,E. Haaland,Erling Braut Haaland,88,20,2000-07-21,194,94,RS,Forward,Borussia Dortmund,German 1. Bundesliga,Norway,9,Left,3,3,Solid Player  Speed Dribbler (AI),89,91,65,80,45,88,75,70.6,82.2,86,74.6666666666667
23,Bruno Fernandes,Bruno Miguel Borges Fernandes,88,26,1994-09-08,179,69,CAM,Midfield,Manchester United,English Premier League,Portugal,18,Right,3,4,Solid Player  Leadership  Flair  Long Passer (AI)  Long Shot Taker (AI)  Playmaker (AI)  Outside Foot Shot,75,86,89,84,70,77,82.4,86.4,80,82.4,83.1666666666667
24,R. Lukaku,Romelu Lukaku Menama,88,28,1993-05-13,191,94,ST,Forward,Chelsea,English Premier League,Belgium,9,Left,4,3,Speed Dribbler (AI)  Power Header  Team Player,84,87,74,78,39,83,81.8,74.8,74.2,81,72.6666666666667
25,T. Kroos,Toni Kroos,88,31,1990-01-04,183,76,LCM,Midfield,Real Madrid CF,Spain Primera Division,Germany,8,Right,5,3,Long Passer (AI)  Long Shot Taker (AI)  Playmaker (AI),53,81,91,81,71,68,79.6,86.2,66.2,70.8,77.8333333333333
26,L. Suárez,Luis Alberto Suárez Díaz,88,34,1987-01-24,182,83,RS,Forward,Atlético de Madrid,Spain Primera Division,Uruguay,9,Right,4,3,Solid Player  Outside Foot Shot,72,90,82,84,47,83,86,82.8,78,81.8,78.8333333333333
27,Sergio Ramos,Sergio Ramos García,88,35,1986-03-30,184,82,LCB,Defender,Paris Saint-Germain,French Ligue 1,Spain,4,Right,3,3,Injury Prone  Dives Into Tackles (AI)  Leadership  Long Passer (AI)  Power Header  Team Player,70,70,76,74,88,84,74.8,76.2,75,79.6,83.5
28,M. Verratti,Marco Verratti,87,28,1992-11-05,165,60,LCM,Midfield,Paris Saint-Germain,French Ligue 1,Italy,6,Right,4,4,Injury Prone  Dives Into Tackles (AI)  Flair  Playmaker (AI)  Outside Foot Shot,64,61,87,91,79,67,70.6,84.2,80,63,83.1666666666667
29,Rúben Dias,Rúben dos Santos Gato Alves Dias,87,24,1997-05-14,187,82,RCB,Defender,Manchester City,English Premier League,Portugal,3,Right,4,2,Solid Player  Leadership  Power Header,61,38,65,68,88,88,56.6,61.2,64.8,70,65.5
30,J. Sancho,Jadon Sancho,87,21,2000-03-25,180,76,LM,Midfield,Manchester United,English Premier League,England,25,Right,3,5,Finesse Shot  Flair  Playmaker (AI)  Technical Dribbler (AI),81,76,82,91,36,65,74.6,80.2,85.8,66.8,66.8333333333333
31,T. Alexander-Arnold,Trent Alexander-Arnold,87,22,1998-10-07,180,69,RB,Defender,Liverpool,English Premier League,England,66,Right,4,3,Early Crosser  Long Passer (AI)  Long Shot Taker (AI),79,68,88,80,80,72,73.8,85.2,77,74.8,76
32,F. de Jong,Frenkie de Jong,87,24,1997-05-12,180,74,RCM,Midfield,FC Barcelona,Spain Primera Division,Netherlands,21,Right,3,4,Flair  Playmaker (AI)  Outside Foot Shot  Technical Dribbler (AI),81,69,85,88,77,78,76.6,82.4,83.4,74.8,75.8333333333333
33,A. Robertson,Andrew Robertson,87,27,1994-03-11,178,64,LB,Defender,Liverpool,English Premier League,Scotland,26,Left,2,3,Leadership  Early Crosser  Speed Dribbler (AI),84,61,81,81,82,76,64.8,78.6,81,72.6,77.1666666666667
34,L. Goretzka,Leon Christoph Goretzka,87,26,1995-02-06,189,82,LDM,Midfield,FC Bayern München,German 1. Bundesliga,Germany,8,Right,4,3,Dives Into Tackles (AI)  Long Shot Taker (AI),81,82,82,84,81,86,79.6,81.2,79.2,85.2,79.6666666666667
35,Marquinhos,Marcos Aoás Corrêa,87,27,1994-05-14,183,75,RCB,Defender,Paris Saint-Germain,French Ligue 1,Brazil,5,Right,3,3,Leadership  Long Passer (AI)  Power Header  Team Player,81,53,75,74,89,81,65.2,64.6,77,72.6,74.8333333333333
36,P. Dybala,Paulo Bruno Exequiel Dybala,87,27,1993-11-15,177,75,CAM,Midfield,Juventus,Italian Serie A,Argentina,10,Left,3,4,Finesse Shot  Flair  Long Shot Taker (AI)  Playmaker (AI)  Outside Foot Shot  Technical Dribbler (AI),84,86,86,90,40,60,80.2,88,86.8,75.8,70.1666666666667
37,P. Pogba,Paul Pogba,87,28,1993-03-15,191,84,RDM,Midfield,Manchester United,English Premier League,France,6,Right,4,5,Injury Prone  Flair  Long Passer (AI)  Long Shot Taker (AI)  Playmaker (AI)  Outside Foot Shot  Technical Dribbler (AI),71,81,86,86,65,83,79.6,87.4,72.6,84.4,80.1666666666667
38,S. Agüero,Sergio Leonel Agüero del Castillo,87,33,1988-06-02,173,70,ST,Forward,FC Barcelona,Spain Primera Division,Argentina,19,Right,4,4,Injury Prone  Chip Shot (AI),71,89,75,87,33,69,81.2,78.8,80.8,77.4,71
39,T. Müller,Thomas Müller,87,31,1989-09-13,185,76,CAM,Midfield,FC Bayern München,German 1. Bundesliga,Germany,25,Right,4,3,Solid Player  Leadership  Outside Foot Shot,67,84,83,80,56,71,84.6,76,74.2,77.8,75.8333333333333
40,W. Szczęsny,Wojciech Tomasz Szczęsny,87,31,1990-04-18,195,90,GK,GK,Juventus,Italian Serie A,Poland,1,Right,3,1,Comes For Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,17.2,19.8,57.2,50,33.3333333333333
41,L. Modrić,Luka Modrić,87,35,1985-09-09,172,66,RCM,Midfield,Real Madrid CF,Spain Primera Division,Croatia,10,Right,4,4,Long Shot Taker (AI)  Playmaker (AI)  Outside Foot Shot  Technical Dribbler (AI),73,76,89,88,72,66,76,85.4,83.4,73.8,80.6666666666667
42,H. Lloris,Hugo Lloris,87,34,1986-12-26,188,82,GK,GK,Tottenham Hotspur,English Premier League,France,1,Left,1,1,Leadership  Team Player  Rushes Out Of Goal,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,18.8,23,63.4,44.2,37.1666666666667
43,C. Immobile,Ciro Immobile,87,31,1990-02-20,185,85,ST,Forward,Lazio,Italian Serie A,Italy,17,Right,4,3,Outside Foot Shot  Chip Shot (AI),86,87,67,81,39,77,78.4,67.4,84.2,80.4,74.3333333333333
44,Fabinho,Fábio Henrique Tavares,86,27,1993-10-23,188,78,CDM,Midfield,Liverpool,English Premier League,Brazil,3,Right,2,3,Dives Into Tackles (AI)  Long Passer (AI),67,69,78,78,85,83,68.8,73,69.4,79,81.8333333333333
45,João Cancelo,João Pedro Cavaco Cancelo,86,27,1994-05-27,182,74,LB,Defender,Manchester City,English Premier League,Portugal,27,Right,4,4,Long Shot Taker (AI)  Technical Dribbler (AI),85,71,83,84,80,72,74.6,80.2,82.6,75.8,74.5
46,A. Laporte,Aymeric Laporte,86,27,1994-05-27,191,85,LCB,Defender,Manchester City,English Premier League,Spain,14,Left,3,2,Long Passer (AI),63,50,72,69,86,80,61.8,70.2,66,70.2,69.1666666666667
47,Rodri,Rodrigo Hernández Cascante,86,25,1996-06-22,191,82,CDM,Midfield,Manchester City,English Premier League,Spain,16,Right,4,3,Solid Player,61,70,77,78,82,82,69.8,72.4,66.4,80,74
48,Marcos Llorente,Marcos Llorente Moreno,86,26,1995-01-30,184,74,RM,Midfield,Atlético de Madrid,Spain Primera Division,Spain,14,Right,4,3,Speed Dribbler (AI),88,80,81,82,78,82,74.4,76,82.6,80.2,80.8333333333333
49,R. Mahrez,Riyad Mahrez,86,30,1991-02-21,179,67,RW,Forward,Manchester City,English Premier League,Algeria,26,Left,4,5,Finesse Shot  Flair  Long Shot Taker (AI)  Technical Dribbler (AI),81,79,81,90,38,60,73.8,84,84.8,69.2,67.5
50,M. Škriniar,Milan Škriniar,86,26,1995-02-11,188,80,RCB,Defender,Inter,Italian Serie A,Slovakia,37,Right,3,2,Solid Player  Team Player,80,41,53,69,87,84,55,50.4,71.2,65.8,64.8333333333333
51,Gerard Moreno,Gerard Moreno Balagueró,86,29,1992-04-07,180,77,RS,Forward,Villarreal CF,Spain Primera Division,Spain,7,Left,4,3,Finesse Shot  Outside Foot Shot,79,86,77,84,46,73,82,76.6,78.8,79.2,71.8333333333333
52,J. Vardy,Jamie Vardy,86,34,1987-01-11,179,74,ST,Forward,Leicester City,English Premier League,England,9,Right,4,3,Dives Into Tackles (AI)  Team Player  Chip Shot (AI),85,84,70,80,52,73,79.2,69.6,82.6,75.2,79.5
53,R. Varane,Raphaël Varane,86,28,1993-04-25,191,81,RCB,Defender,Manchester United,English Premier League,France,19,Right,3,2,Dives Into Tackles (AI),82,49,64,65,87,82,58.8,61.4,69.8,69.6,67.5
54,Thiago,Thiago Alcântara do Nascimento,86,30,1991-04-11,174,70,LCM,Midfield,Liverpool,English Premier League,Spain,6,Right,3,5,Injury Prone  Dives Into Tackles (AI)  Flair  Playmaker (AI)  Outside Foot Shot  Technical Dribbler (AI),63,72,86,90,70,66,74.4,86.6,78.4,72.2,79.5
55,K. Koulibaly,Kalidou Koulibaly,86,30,1991-06-20,187,89,LCB,Defender,Napoli,Italian Serie A,Senegal,26,Right,3,2,Power Header,81,28,51,65,87,85,42.6,50.4,65.8,63.2,61.6666666666667
56,S. Handanovič,Samir Handanovič,86,36,1984-07-14,193,92,GK,GK,Inter,Italian Serie A,Slovenia,1,Right,3,1,Solid Player  GK Long Throw  Team Player,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,17.2,22.6,51.4,51.2,32
57,Jordi Alba,Jordi Alba Ramos,86,32,1989-03-21,170,68,LB,Defender,FC Barcelona,Spain Primera Division,Spain,18,Left,3,3,Speed Dribbler (AI),86,69,81,83,77,71,74.6,77.6,85.6,71.6,76
58,M. Hummels,Mats Hummels,86,32,1988-12-16,191,96,LCB,Defender,Borussia Dortmund,German 1. Bundesliga,Germany,15,Right,3,3,Leadership  Long Passer (AI)  Playmaker (AI)  Power Header  Outside Foot Shot,56,59,77,73,89,77,70.6,70.6,64.4,68.4,75.6666666666667
59,Sergio Busquets,Sergio Busquets i Burgos,86,32,1988-07-16,189,76,CDM,Midfield,FC Barcelona,Spain Primera Division,Spain,5,Right,3,3,Leadership  Team Player,42,62,79,80,82,75,65.6,77.2,57.2,66.2,79.3333333333333
60,Parejo,Daniel Parejo Muñoz,86,32,1989-04-16,182,74,LCM,Midfield,Villarreal CF,Spain Primera Division,Spain,5,Right,4,3,Solid Player  Long Passer (AI)  Playmaker (AI),50,83,90,81,71,69,78.8,87.2,63.2,73.2,80.5
61,K. Casteels,Koen Casteels,86,29,1992-06-25,197,86,GK,GK,VfL Wolfsburg,German 1. Bundesliga,Belgium,1,Left,2,1,Comes For Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,18.4,21.4,53.2,50.4,27.6666666666667
62,L. Insigne,Lorenzo Insigne,86,30,1991-06-04,163,59,LW,Forward,Napoli,Italian Serie A,Italy,24,Right,4,4,Finesse Shot  Flair  Long Shot Taker (AI)  Outside Foot Shot  Technical Dribbler (AI),87,78,85,90,36,45,74.6,88,87,63.2,66.3333333333333
63,W. Ndidi,Onyinye Wilfred Ndidi,85,24,1996-12-16,183,74,LDM,Midfield,Leicester City,English Premier League,Nigeria,25,Right,4,3,Long Shot Taker (AI),67,62,69,74,87,83,64.2,68.8,71.2,81.6,74.6666666666667
64,M. Depay,Memphis Depay,85,27,1994-02-13,176,78,LW,Forward,FC Barcelona,Spain Primera Division,Netherlands,9,Right,3,5,Flair  Long Shot Taker (AI)  Playmaker (AI)  Outside Foot Shot  Technical Dribbler (AI),82,83,82,84,30,79,77.4,83,81.6,80.2,71
65,Carvajal,Daniel Carvajal Ramos,85,29,1992-01-11,173,73,RB,Defender,Real Madrid CF,Spain Primera Division,Spain,2,Right,3,3,Team Player,80,54,78,80,81,80,67.4,71.6,80.4,71,73.3333333333333
66,Jorginho,Luiz Frello Filho Jorge,85,29,1991-12-20,180,68,LCM,Midfield,Chelsea,English Premier League,Italy,5,Right,3,3,Playmaker (AI),55,67,86,81,73,73,71.6,81.2,68.4,68.8,81.5
67,S. Gnabry,Serge David Gnabry,85,25,1995-07-14,176,77,RM,Midfield,FC Bayern München,German 1. Bundesliga,Germany,7,Right,4,4,Injury Prone  Flair  Long Shot Taker (AI)  Speed Dribbler (AI)  Technical Dribbler (AI),83,84,79,86,43,69,73.4,77,85.6,76,69.6666666666667
68,S. Milinković-Savić,Sergej Milinković-Savić,85,26,1995-02-27,191,76,RCM,Midfield,Lazio,Italian Serie A,Serbia,21,Right,5,4,Power Header  Outside Foot Shot,68,79,80,81,79,86,77.8,82.6,68.8,85.2,76.3333333333333
69,M. de Ligt,Matthijs de Ligt,85,21,1999-08-12,189,89,LCB,Defender,Juventus,Italian Serie A,Netherlands,4,Right,3,2,Solid Player  Power Header,73,59,60,69,84,87,61.4,60.8,70.4,81.8,62.5
70,Oyarzabal,Mikel Oyarzabal Ugarte,85,24,1997-04-21,181,79,LW,Forward,Real Sociedad,Spain Primera Division,Spain,10,Left,3,3,Solid Player  Finesse Shot  Outside Foot Shot  Technical Dribbler (AI),82,82,81,84,41,63,76.6,78.2,81.6,74.4,69.6666666666667
71,L. Martínez,Lautaro Javier Martínez,85,23,1997-08-22,174,72,LS,Forward,Inter,Italian Serie A,Argentina,10,Right,4,4,Flair  Power Header  Technical Dribbler (AI),84,81,72,85,48,84,78.8,72.4,86.6,81.2,75.8333333333333
72,A. Hakimi,Achraf Hakimi Mouh,85,22,1998-11-04,181,73,RB,Defender,Paris Saint-Germain,French Ligue 1,Morocco,2,Right,4,3,Solid Player  Dives Into Tackles (AI)  Speed Dribbler (AI)  Outside Foot Shot,95,71,78,83,76,78,73.6,72.6,87.8,78.2,72
73,A. Griezmann,Antoine Griezmann,85,30,1991-03-21,176,73,LS,Forward,Atlético de Madrid,Spain Primera Division,France,17,Left,3,4,Finesse Shot  Flair  Long Shot Taker (AI)  Playmaker (AI)  Outside Foot Shot  Chip Shot (AI)  Technical Dribbler (AI),80,84,84,87,52,72,84,85.4,84.8,80.8,77.5
74,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,85,29,1991-10-02,181,76,CF,Forward,Liverpool,English Premier League,Brazil,9,Right,4,5,Flair  Playmaker (AI)  Technical Dribbler (AI),77,78,79,89,59,78,79.2,80.2,82.2,79.4,76.3333333333333
75,S. de Vrij,Stefan de Vrij,85,29,1992-02-05,189,78,CB,Defender,Inter,Italian Serie A,Netherlands,6,Right,3,2,Long Passer (AI),72,41,64,70,87,79,52,54.6,69.6,72.6,65.1666666666667
76,Koke,Jorge Resurrección Merodio,85,29,1992-01-08,176,75,RCM,Midfield,Atlético de Madrid,Spain Primera Division,Spain,6,Right,4,3,Leadership  Playmaker (AI)  Team Player,70,75,85,81,79,80,72,81.6,76.8,78,80.6666666666667
77,E. Hazard,Eden Hazard,85,30,1991-01-07,175,74,LW,Forward,Real Madrid CF,Spain Primera Division,Belgium,7,Right,4,4,Injury Prone  Finesse Shot  Flair  Playmaker (AI)  Outside Foot Shot  Technical Dribbler (AI),84,80,82,88,35,63,76.6,84,84.6,70.4,73
78,A. Gómez,Alejandro Darío Gómez,85,33,1988-02-15,167,68,LCM,Midfield,Sevilla FC,Spain Primera Division,Argentina,24,Right,4,4,Long Shot Taker (AI)  Playmaker (AI)  Outside Foot Shot  Technical Dribbler (AI),87,78,84,87,39,55,71,83,89.2,70,69.8333333333333
79,K. Schmeichel,Kasper Peter Schmeichel,85,34,1986-11-05,189,89,GK,GK,Leicester City,English Premier League,Denmark,1,Right,3,1,Solid Player  Leadership  Team Player,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,21,25.2,57.2,46.4,36.6666666666667
80,David Silva,David Josué Jiménez Silva,85,35,1986-01-08,173,67,CAM,Midfield,Real Sociedad,Spain Primera Division,Spain,21,Left,2,4,Finesse Shot  Flair  Playmaker (AI)  Outside Foot Shot  Technical Dribbler (AI),63,74,87,87,52,53,76,83.6,77,63.4,74.6666666666667
81,Y. Sommer,Yann Sommer,85,32,1988-12-17,183,79,GK,GK,Borussia Mönchengladbach,German 1. Bundesliga,Switzerland,1,Right,4,1,Comes For Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,16.8,19.2,59.4,52.2,36.5
82,L. Bonucci,Leonardo Bonucci,85,34,1987-05-01,190,85,RCB,Defender,Juventus,Italian Serie A,Italy,19,Right,4,2,Power Free-Kick  Solid Player  Long Passer (AI)  Power Header,64,58,69,72,86,80,62.8,69,64.4,76,72.1666666666667
83,P. Gulácsi,Péter Gulácsi,85,31,1990-05-06,191,86,GK,GK,RB Leipzig,German 1. Bundesliga,Hungary,1,Right,2,1,Rushes Out Of Goal,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,18.8,20.8,50,49,30.1666666666667
84,İ. Gündoğan,İlkay Gündoğan,85,30,1990-10-24,180,80,LCM,Midfield,Manchester City,English Premier League,Germany,8,Right,4,4,Injury Prone  Long Shot Taker (AI)  Playmaker (AI)  Technical Dribbler (AI),65,80,85,86,73,72,74.2,85.2,74.2,73.6,80.5
85,M. Reus,Marco Reus,85,32,1989-05-31,180,71,CAM,Midfield,Borussia Dortmund,German 1. Bundesliga,Germany,11,Right,4,4,Injury Prone  Finesse Shot  Playmaker (AI)  Outside Foot Shot  Technical Dribbler (AI),73,84,84,85,47,63,76.6,84.6,79.6,74,72
86,K. Walker,Kyle Walker,85,31,1990-05-28,183,83,RB,Defender,Manchester City,English Premier League,England,2,Right,2,3,Long Throw-in  Speed Dribbler (AI),92,63,76,78,80,82,67.6,76.8,80.6,80.8,73.1666666666667
87,P. Aubameyang,Pierre-Emerick Emiliano François Aubameyang,85,32,1989-06-18,187,80,ST,Forward,Arsenal,English Premier League,Gabon,14,Right,4,4,Solid Player  Finesse Shot  Speed Dribbler (AI)  Outside Foot Shot  Chip Shot (AI),89,85,75,80,35,69,79.6,76.2,81.6,77.6,71.3333333333333
88,J. Giménez,José María Giménez de Vargas,84,26,1995-01-20,185,79,CB,Defender,Atlético de Madrid,Spain Primera Division,Uruguay,2,Right,3,2,Injury Prone  Dives Into Tackles (AI),69,45,57,59,86,80,53.4,53.4,61.8,71.2,59.3333333333333
89,Y. Carrasco,Yannick Ferreira Carrasco,84,27,1993-09-04,185,73,LM,Midfield,Atlético de Madrid,Spain Primera Division,Belgium,21,Right,4,4,Flair  Long Shot Taker (AI)  Speed Dribbler (AI),88,81,78,85,45,67,72.8,81.2,83.4,75.8,70.8333333333333
90,F. Kostić,Filip Kostić,84,28,1992-11-01,184,82,LM,Midfield,Eintracht Frankfurt,German 1. Bundesliga,Serbia,10,Left,2,3,Power Free-Kick  Speed Dribbler (AI),88,77,82,83,68,80,75,80.2,82.8,79.4,74.5
91,R. Guerreiro,Raphaël Adelino José Guerreiro,84,27,1993-12-22,170,71,LB,Defender,Borussia Dortmund,German 1. Bundesliga,Portugal,13,Left,2,4,Flair  Outside Foot Shot  Technical Dribbler (AI),75,77,85,88,76,58,74.2,84.8,83,68.2,71.5
92,Ricardo Pereira,Ricardo Domingos Barbosa Pereira,84,27,1993-10-06,175,70,RB,Defender,Leicester City,English Premier League,Portugal,21,Right,4,3,Early Crosser  Speed Dribbler (AI)  Team Player,83,67,78,82,80,75,71.2,74.2,81.8,73.2,75.5
93,M. Maignan,Mike Maignan,84,25,1995-07-03,191,89,GK,GK,AC Milan,Italian Serie A,France,16,Right,4,1,Comes For Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,24.2,32.4,55.2,55,35
94,M. Brozović,Marcelo Brozović,84,28,1992-11-16,181,68,CDM,Midfield,Inter,Italian Serie A,Croatia,77,Right,4,3,Dives Into Tackles (AI)  Finesse Shot  Long Passer (AI)  Long Shot Taker (AI),69,74,80,79,79,78,72.2,79.4,75.4,79,77.8333333333333
95,Y. Tielemans,Youri Tielemans,84,24,1997-05-07,176,72,RDM,Midfield,Leicester City,English Premier League,Belgium,8,Right,5,4,Solid Player  Long Passer (AI)  Long Shot Taker (AI)  Playmaker (AI),63,79,86,80,71,72,78,82.2,70.6,77.8,78
96,T. Hernández,Theo Bernard François Hernández,84,23,1997-10-06,184,81,LB,Defender,AC Milan,Italian Serie A,France,19,Left,3,3,Speed Dribbler (AI),93,71,76,81,77,82,74,72.6,84.6,77.8,74
